#Strain	Comment
PI 603284	Monsanto Technology, LLC, PVP 9800220
PI 603285	Advanta USA, Inc., PVP 9800222
PI 603287	Advanta USA, Inc., PVP 9800223
PI 603288	Introduction
PI 603290	Introduction; China
PI 603308 B	Introduction; China
PI 603432 B	Introduction; Shandong, China
PI 603452	Introduction
PI 603571 A	Introduction; From China ca. 1998
PI 603756	Monsanto Technology, LLC, PVP 9800228
PI 603788	Monsanto Technology, LLC, PVP 9800229
PI 603789	Monsanto Technology, LLC, PVP 9800230
PI 603790	Monsanto Technology, LLC, PVP 9800231
PI 603791	Monsanto Technology, LLC, PVP 9800232
PI 603792	Monsanto Technology, LLC, PVP 9800233
PI 603793	Monsanto Technology, LLC, PVP 9800234
PI 603794	Monsanto Technology, LLC, PVP 9800235
PI 603795	Monsanto Technology, LLC, PVP 9800237
PI 603796	Monsanto Technology, LLC, PVP 9800238
PI 603797	Monsanto Technology, LLC, PVP 9800239
PI 603798	Monsanto Technology, LLC, PVP 9800240
PI 603799	Monsanto Technology, LLC, PVP 9800241
PI 603800	Monsanto Technology, LLC, PVP 9800242
PI 603801	Monsanto Technology, LLC, PVP 9800243
PI 603802	Novartis Seeds, Inc., PVP 9800244
PI 603803	Novartis Seeds, Inc., PVP 9800245
PI 603804	Monsanto Technology, LLC, PVP 9800246
PI 603805	Monsanto Technology, LLC, PVP 9800247
PI 603806	Monsanto Technology, LLC, PVP 9800248
PI 603807	South Carolina Agricultural Experiment Station, PVP 9800254
PI 603953	Syngenta Seeds, Inc., PVP 9800261
PI 603957	Introduction; Nanping, Fujian, China
PI 60406	Monsanto Technology, LLC, PVP 9800236
PI 605706	Monsanto Technology, LLC, PVP 9900027
PI 606071	Monsanto Technology, LLC, PVP 9900028
PI 606072	Monsanto Technology, LLC, PVP 9900029
PI 606073	Monsanto Technology, LLC, PVP 9900030
PI 606074	Monsanto Technology, LLC, PVP 9900031
PI 606075	Monsanto Technology, LLC, PVP 9900032
PI 606076	Monsanto Technology, LLC, PVP 9900033
PI 606077	Monsanto Technology, LLC, PVP 9900034
PI 606078	Monsanto Technology, LLC, PVP 9900035
PI 606079	Monsanto Technology, LLC, PVP 9900036
PI 606080	Monsanto Technology, LLC, PVP 9900037
PI 606081	Monsanto Technology, LLC, PVP 9900038
PI 606082	Monsanto Technology, LLC, PVP 9900039
PI 606083	Monsanto Technology, LLC, PVP 9900040
PI 606084	Pioneer Hi-Bred International, Inc., PVP 9900085
PI 606727	Pioneer Hi-Bred International, Inc., PVP 9900086
PI 606728	Pioneer Hi-Bred International, Inc., PVP 9900087
PI 606729	Pioneer Hi-Bred International, Inc., PVP 9900088
PI 606730	Pioneer Hi-Bred International, Inc., PVP 9900089
PI 606731	Pioneer Hi-Bred International, Inc., PVP 9900090
PI 606732	Pioneer Hi-Bred International, Inc., PVP 9900091
PI 606733	Pioneer Hi-Bred International, Inc., PVP 9900092
PI 606734	Pioneer Hi-Bred International, Inc., PVP 9900097
PI 606735	Pioneer Hi-Bred International, Inc., PVP 9900098
PI 606736	Pioneer Hi-Bred International, Inc., PVP 9900099
PI 606737	Pioneer Hi-Bred International, Inc., PVP 9900100
PI 606738	Pioneer Hi-Bred International, Inc., PVP 9900101
PI 606739	Pioneer Hi-Bred International, Inc., PVP 9900102
PI 606740	Pioneer Hi-Bred International, Inc., PVP 9900103
PI 606741	Pioneer Hi-Bred International, Inc., PVP 9900104
PI 606742	Pioneer Hi-Bred International, Inc., PVP 9900105
PI 606749	Novartis Seeds, Inc., PVP 9900224
PI 607541	Monsanto Technology, LLC, PVP 9900257
PI 607576	Terral Seed, Inc., PVP 9900264
PI 607581	Minnesota Agricultural Experiment Station, PVP 9800050
PI 607835	Monsanto Technology, LLC, PVP 9900276
PI 607980	Monsanto Technology, LLC, PVP 9900277
PI 607981	Monsanto Technology, LLC, PVP 9900279
PI 607982	T J Seed Company, PVP 9900312
PI 608006	Minnesota Agricultural Experiment Station, PVP 9900174
PI 608726	Pioneer Hi-Bred International, Inc., PVP 200000030
PI 610240	Pioneer Hi-Bred International, Inc., PVP 200000031
PI 610241	Pioneer Hi-Bred International, Inc., PVP 200000032
PI 610242	Pioneer Hi-Bred International, Inc., PVP 200000033
PI 610243	Pioneer Hi-Bred International, Inc., PVP 200000034
PI 610244	Pioneer Hi-Bred International, Inc., PVP 200000035
PI 610245	Pioneer Hi-Bred International, Inc., PVP 200000036
PI 610246	Pioneer Hi-Bred International, Inc., PVP 200000037
PI 610247	Pioneer Hi-Bred International, Inc., PVP 200000038
PI 610248	Pioneer Hi-Bred International, Inc., PVP 200000039
PI 610249	Pioneer Hi-Bred International, Inc., PVP 200000040
PI 610250	Pioneer Hi-Bred International, Inc., PVP 200000041
PI 610251	Pioneer Hi-Bred International, Inc., PVP 200000042
PI 610252	Pioneer Hi-Bred International, Inc., PVP 200000043
PI 610253	Pioneer Hi-Bred International, Inc., PVP 200000044
PI 610254	Pioneer Hi-Bred International, Inc., PVP 200000045
PI 610255	Pioneer Hi-Bred International, Inc., PVP 200000046
PI 610256	Monsanto Technology, LLC, PVP 9900278
PI 610431	Monsanto Technology, LLC, PVP 9900280
PI 610432	Monsanto Technology, LLC, PVP 9900281
PI 610433	Monsanto Technology, LLC, PVP 9900282
PI 610434	Monsanto Technology, LLC, PVP 9900283
PI 610435	Monsanto Technology, LLC, PVP 9900284
PI 610436	Monsanto Technology, LLC, PVP 9900285
PI 610437	Monsanto Technology, LLC, PVP 9900286
PI 610438	Monsanto Technology, LLC, PVP 9900287
PI 610439	Novartis Seeds, Inc., PVP 9900314
PI 610442	Syngenta Seeds, Inc., PVP 9900315
PI 610443	Novartis Seeds, Inc., PVP 9900316
PI 610444	Novartis Seeds, Inc., PVP 9900317
PI 610445	Novartis Seeds, Inc., PVP 9900319
PI 610447	Kentucky Agricultural Experiment Station, PVP 9900351
PI 611112	Pioneer Hi-Bred International, Inc., PVP 200000109
PI 612444	Pioneer Hi-Bred International, Inc., PVP 200000110
PI 612445	Pioneer Hi-Bred International, Inc., PVP 200000111
PI 612446	Pioneer Hi-Bred International, Inc., PVP 200000112
PI 612447	Pioneer Hi-Bred International, Inc., PVP 200000113
PI 612448	Pioneer Hi-Bred International, Inc., PVP 200000114
PI 612449	Pioneer Hi-Bred International, Inc., PVP 200000117
PI 612584	Pioneer Hi-Bred International, Inc., PVP 200000118
PI 612585	Pioneer Hi-Bred International, Inc., PVP 200000119
PI 612586	Pioneer Hi-Bred International, Inc., PVP 200000120
PI 612587	Introduction; Harbin 94-2508, Heilongjiang China
PI 612717	Minnesota Agricultural Experiment Station, PVP 200000145
PI 612763	Minnesota Agricultural Experiment Station, PVP 200000146
PI 612764	Monsanto Technology, LLC, PVP 200000078
PI 612935	Monsanto Technology, LLC, PVP 200000079
PI 612936	Monsanto Technology, LLC, PVP 200000080
PI 612937	Monsanto Technology, LLC, PVP 200000081
PI 612938	Monsanto Technology, LLC, PVP 200000082
PI 612939	Monsanto Technology, LLC, PVP 200000083
PI 612940	Monsanto Technology, LLC, PVP 200000084
PI 612941	Monsanto Technology, LLC, PVP 200000085
PI 612942	Monsanto Technology, LLC, PVP 200000086
PI 612943	Monsanto Technology, LLC, PVP 200000087
PI 612944	Monsanto Technology, LLC, PVP 200000088
PI 612945	Monsanto Technology, LLC, PVP 200000089
PI 612946	Monsanto Technology, LLC, PVP 200000090
PI 612947	Monsanto Technology, LLC, PVP 200000091
PI 612948	Monsanto Technology, LLC, PVP 200000092
PI 612949	Monsanto Technology, LLC, PVP 200000093
PI 612950	Monsanto Technology, LLC, PVP 200000094
PI 612951	Monsanto Technology, LLC, PVP 200000095
PI 612952	Monsanto Technology, LLC, PVP 200000096
PI 612953	Monsanto Technology, LLC, PVP 200000097
PI 612954	Pioneer Hi-Bred International, Inc., PVP 200000150
PI 612960	Pioneer Hi-Bred International, Inc., PVP 200000151
PI 612962	Pioneer Hi-Bred International, Inc., PVP 200000152
PI 612963	Pioneer Hi-Bred International, Inc., PVP 200000153
PI 612964	Novartis Seeds, Inc., PVP 200000235
PI 613609	Monsanto Technology, LLC, PVP 200000316
PI 614773	Monsanto Technology, LLC, PVP 200000317
PI 614774	Monsanto Technology, LLC, PVP 200000318
PI 614775	Pioneer Hi-Bred International, Inc., PVP 200100060
PI 615537	Pioneer Hi-Bred International, Inc., PVP 200100061
PI 615538	Pioneer Hi-Bred International, Inc., PVP 200100062
PI 615539	Pioneer Hi-Bred International, Inc., PVP 200100063
PI 615540	Pioneer Hi-Bred International, Inc., PVP 200100064
PI 615541	Pioneer Hi-Bred International, Inc., PVP 200100065
PI 615542	Pioneer Hi-Bred International, Inc., PVP 200100070
PI 615561	Pioneer Hi-Bred International, Inc., PVP 200100071
PI 615562	Pioneer Hi-Bred International, Inc., PVP 200100072
PI 615563	Pioneer Hi-Bred International, Inc., PVP 200100073
PI 615564	Pioneer Hi-Bred International, Inc., PVP 200100074
PI 615565	Pioneer Hi-Bred International, Inc., PVP 200100075
PI 615566	Pioneer Hi-Bred International, Inc., PVP 200100077
PI 615568	Pioneer Hi-Bred International, Inc., PVP 200100078
PI 615569	Pioneer Hi-Bred International, Inc., PVP 200100079
PI 615570	Pioneer Hi-Bred International, Inc., PVP 200100080
PI 615571	Pioneer Hi-Bred International, Inc., PVP 200100081
PI 615572	Pioneer Hi-Bred International, Inc., PVP 200100082
PI 615573	Pioneer Hi-Bred International, Inc., PVP 200100083
PI 615574	Pioneer Hi-Bred International, Inc., PVP 200100084
PI 615575	Pioneer Hi-Bred International, Inc., PVP 200100085
PI 615576	Pioneer Hi-Bred International, Inc., PVP 200100086
PI 615577	Pioneer Hi-Bred International, Inc., PVP 200100087
PI 615578	Pioneer Hi-Bred International, Inc., PVP 200100088
PI 615579	Pioneer Hi-Bred International, Inc., PVP 200100089
PI 615580	NDSU Research Foundation, PVP 200100100
PI 615586	South Carolina Agriculture and Forestry Research System, PVP 200100207
PI 617041	U.S. Department of Agriculture/Agriculture Research Service and N.C. Agriculture Research Service, PVP 200100220
PI 617045	Minnesota Agricultural Experiment Station, PVP 200100174
PI 619049	Minnesota Agricultural Experiment Station, PVP 200100175
PI 619050	Introduction; South Korea
PI 619083	Syngenta Seeds, Inc., PVP 200100202
PI 619091	Syngenta Seeds, Inc., PVP 200100206
PI 619095	USDA-Agricultural Research Service, PVP 200100286
PI 619617	Brushvale Seeds, Inc., PVP 200200015
PI 628354	Brushvale Seeds, Inc., PVP 200200016
PI 628355	Monsanto Technology, LLC, PVP 200200034
PI 628659	Monsanto Technology, LLC, PVP 200200035
PI 628660	Monsanto Technology, LLC, PVP 200200036
PI 628661	Monsanto Technology, LLC, PVP 200200037
PI 628662	Monsanto Technology, LLC, PVP 200200038
PI 628663	Monsanto Technology, LLC, PVP 200200039
PI 628664	Monsanto Technology, LLC, PVP 200200040
PI 628665	Monsanto Technology, LLC, PVP 200200041
PI 628666	Monsanto Technology, LLC, PVP 200200042
PI 628667	Monsanto Technology, LLC, PVP 200200043
PI 628668	Monsanto Technology, LLC, PVP 200200044
PI 628669	Pioneer Hi-Bred International, Inc., PVP 200200078
PI 628997	Pioneer Hi-Bred International, Inc., PVP 200200079
PI 628998	Pioneer Hi-Bred International, Inc., PVP 200200080
PI 628999	Pioneer Hi-Bred International, Inc., PVP 200200081
PI 629000	Pioneer Hi-Bred International, Inc., PVP 200200082
PI 629001	Pioneer Hi-Bred International, Inc., PVP 200200083
PI 629002	Pioneer Hi-Bred International, Inc., PVP 200200084
PI 629003	Ohio Agricultural Research and Development Center, PVP 200200089
PI 629008	Florida Agricultural Experiment Station University of Florida, IFAS, PVP 200400032
PI 629015	Pioneer Hi-Bred International, Inc., PVP 200200098
PI 630928	Pioneer Hi-Bred International, Inc., PVP 200200099
PI 630929	Pioneer Hi-Bred International, Inc., PVP 200200100
PI 630930	Pioneer Hi-Bred International, Inc., PVP 200200101
PI 630931	Pioneer Hi-Bred International, Inc., PVP 200200102
PI 630932	Pioneer Hi-Bred International, Inc., PVP 200200103
PI 630933	Pioneer Hi-Bred International, Inc., PVP 200200131
PI 631086	Syngenta Seeds, Inc., PVP 200200139
PI 631167	NDSU Research Foundation, PVP 200200263
PI 631437	NDSU Research Foundation, PVP 200200264
PI 631438	NDSU Research Foundation, PVP 200200262
PI 632259	Monsanto Technology, LLC, PVP 200300016
PI 632303	Monsanto Technology, LLC, PVP 200300017
PI 632304	Monsanto Technology, LLC, PVP 200300018
PI 632305	Monsanto Technology, LLC, PVP 200300019
PI 632306	Monsanto Technology, LLC, PVP 200300020
PI 632307	Monsanto Technology, LLC, PVP 200300021
PI 632308	Monsanto Technology, LLC, PVP 200300022
PI 632309	Monsanto Technology, LLC, PVP 200300023
PI 632310	Monsanto Technology, LLC, PVP 200300024
PI 632311	Monsanto Technology, LLC, PVP 200300025
PI 632312	Monsanto Technology, LLC, PVP 200300026
PI 632313	Monsanto Technology, LLC, PVP 200300027
PI 632314	Monsanto Technology, LLC, PVP 200300028
PI 632315	Monsanto Technology, LLC, PVP 200300029
PI 632316	Monsanto Technology, LLC, PVP 200300030
PI 632317	U.S. Government, as represented by the Secretary of Agriculture, PVP 200300172
PI 632418	Pioneer Hi-Bred International, Inc., PVP 200300084
PI 632600	Pioneer Hi-Bred International, Inc., PVP 200300085
PI 632601	Pioneer Hi-Bred International, Inc., PVP 200300086
PI 632602	Pioneer Hi-Bred International, Inc., PVP 200300087
PI 632603	Pioneer Hi-Bred International, Inc., PVP 200300088
PI 632604	Pioneer Hi-Bred International, Inc., PVP 200300089
PI 632605	Pioneer Hi-Bred International, Inc., PVP 200300090
PI 632606	Pioneer Hi-Bred International, Inc., PVP 200300091
PI 632607	Pioneer Hi-Bred International, Inc., PVP 200300092
PI 632608	Pioneer Hi-Bred International, Inc., PVP 200300093
PI 632609	Pioneer Hi-Bred International, Inc., PVP 200300094
PI 632610	Pioneer Hi-Bred International, Inc., PVP 200300095
PI 632611	Pioneer Hi-Bred International, Inc., PVP 200300096
PI 632612	Pioneer Hi-Bred International, Inc., PVP 200300097
PI 632613	Pioneer Hi-Bred International, Inc., PVP 200300098
PI 632614	Pioneer Hi-Bred International, Inc., PVP 200300099
PI 632615	Pioneer Hi-Bred International, Inc., PVP 200300100
PI 632616	Pioneer Hi-Bred International, Inc., PVP 200300101
PI 632617	Pioneer Hi-Bred International, Inc., PVP 200300102
PI 632618	Pioneer Hi-Bred International, Inc., PVP 200300103
PI 632619	Pioneer Hi-Bred International, Inc., PVP 200300104
PI 632620	Pioneer Hi-Bred International, Inc., PVP 200300105
PI 632621	Pioneer Hi-Bred International, Inc., PVP 200300106
PI 632622	Monsanto Technology, LLC, PVP 200300117
PI 632693	Monsanto Technology, LLC, PVP 200300118
PI 632694	Monsanto Technology, LLC, PVP 200300119
PI 632695	Monsanto Technology, LLC, PVP 200300120
PI 632696	Monsanto Technology, LLC, PVP 200300121
PI 632697	Monsanto Technology, LLC, PVP 200300122
PI 632698	Monsanto Technology, LLC, PVP 200300123
PI 632699	Monsanto Technology, LLC, PVP 200300124
PI 632700	Monsanto Technology, LLC, PVP 200300125
PI 632701	Monsanto Technology, LLC, PVP 200300126
PI 632702	Monsanto Technology, LLC, PVP 200300127
PI 632703	Monsanto Technology, LLC, PVP 200300128
PI 632704	Monsanto Technology, LLC, PVP 200300129
PI 632705	Monsanto Technology, LLC, PVP 200300130
PI 632706	Monsanto Technology, LLC, PVP 200300131
PI 632707	Monsanto Technology, LLC, PVP 200300136
PI 632709	Monsanto Technology, LLC, PVP 200300195
PI 633007	Monsanto Technology, LLC, PVP 200300196
PI 633008	South Dakota Agricultural Experiment Station, PVP 200300164
PI 633039	Monsanto Technology, LLC, PVP 200300211
PI 633051	Virginia State University and U.S. Government, as represented by the Secretary of Agriculture, PVP 200300250
PI 633608	Monsanto Technology, LLC, PVP 200400099
PI 634570	Pioneer Hi-Bred International, Inc., PVP 200400073
PI 634590	Pioneer Hi-Bred International, Inc., PVP 200400074
PI 634591	Monsanto Technology, LLC, PVP 200400105
PI 634596	Monsanto Technology, LLC, PVP 200400106
PI 634597	Monsanto Technology, LLC, PVP 200400107
PI 634598	Pioneer Hi-Bred International, Inc., PVP 200400075
PI 634736	Pioneer Hi-Bred International, Inc., PVP 200400076
PI 634737	Pioneer Hi-Bred International, Inc., PVP 200400077
PI 634738	Pioneer Hi-Bred International, Inc., PVP 200400078
PI 634739	Pioneer Hi-Bred International, Inc., PVP 200400079
PI 634740	Pioneer Hi-Bred International, Inc., PVP 200400080
PI 634741	Pioneer Hi-Bred International, Inc., PVP 200400081
PI 634742	Pioneer Hi-Bred International, Inc., PVP 200400082
PI 634743	Pioneer Hi-Bred International, Inc., PVP 200400083
PI 634744	Pioneer Hi-Bred International, Inc., PVP 200400084
PI 634745	Pioneer Hi-Bred International, Inc., PVP 200400085
PI 634746	Pioneer Hi-Bred International, Inc., PVP 200400086
PI 634747	Pioneer Hi-Bred International, Inc., PVP 200400087
PI 634748	Pioneer Hi-Bred International, Inc., PVP 200400088
PI 634749	Pioneer Hi-Bred International, Inc., PVP 200400144
PI 634804	NDSU Research Foundation, PVP 200400153
PI 634812	NDSU Research Foundation, PVP 200400154
PI 634813	National Agricultural Research Organization, PVP 200300229
PI 635051	Minnesota Agricultural Experiment Station, University of Minnesota, PVP 200400288
PI 635150	Monsanto Technology, LLC, PVP 200400310
PI 636110	Monsanto Technology, LLC, PVP 200400311
PI 636111	Monsanto Technology, LLC, PVP 200400312
PI 636112	Monsanto Technology, LLC, PVP 200400313
PI 636113	Monsanto Technology, LLC, PVP 200400314
PI 636114	Monsanto Technology, LLC, PVP 200400315
PI 636115	Monsanto Technology, LLC, PVP 200400316
PI 636116	Monsanto Technology, LLC, PVP 200400317
PI 636117	Monsanto Technology, LLC, PVP 200400318
PI 636118	Monsanto Technology, LLC, PVP 200400319
PI 636119	Monsanto Technology, LLC, PVP 200400320
PI 636120	Monsanto Technology, LLC, PVP 200400321
PI 636121	Monsanto Technology, LLC, PVP 200400322
PI 636122	Monsanto Technology, LLC, PVP 200400323
PI 636123	Monsanto Technology, LLC, PVP 200400324
PI 636124	Monsanto Technology, LLC, PVP 200400325
PI 636125	Virginia Tech Intellectual Properties, Inc., PVP 200500008
PI 636311	Pioneer Hi-Bred International, Inc., PVP 200500067
PI 636732	Pioneer Hi-Bred International, Inc., PVP 200500068
PI 636733	Pioneer Hi-Bred International, Inc., PVP 200500069
PI 636734	Pioneer Hi-Bred International, Inc., PVP 200500070
PI 636735	Pioneer Hi-Bred International, Inc., PVP 200500071
PI 636736	Pioneer Hi-Bred International, Inc., PVP 200500072
PI 636737	Pioneer Hi-Bred International, Inc., PVP 200500073
PI 636738	Pioneer Hi-Bred International, Inc., PVP 200500074
PI 636739	Pioneer Hi-Bred International, Inc., PVP 200500075
PI 636740	Pioneer Hi-Bred International, Inc., PVP 200500076
PI 636741	Pioneer Hi-Bred International, Inc., PVP 200500077
PI 636742	Pioneer Hi-Bred International, Inc., PVP 200500078
PI 636743	Pioneer Hi-Bred International, Inc., PVP 200500079
PI 636744	Pioneer Hi-Bred International, Inc., PVP 200500080
PI 636745	Pioneer Hi-Bred International, Inc., PVP 200500081
PI 636746	Pioneer Hi-Bred International, Inc., PVP 200500082
PI 636747	Pioneer Hi-Bred International, Inc., PVP 200500083
PI 636748	Pioneer Hi-Bred International, Inc., PVP 200500084
PI 636749	Pioneer Hi-Bred International, Inc., PVP 200500085
PI 636750	Pioneer Hi-Bred International, Inc., PVP 200500086
PI 636751	Pioneer Hi-Bred International, Inc., PVP 200500087
PI 636752	Pioneer Hi-Bred International, Inc., PVP 200500088
PI 636753	NDSU Research Foundation, PVP 200500169
PI 638510	NDSU Research Foundation, PVP 200500170
PI 638511	Monsanto Technology, LLC, PVP 200500125
PI 638685	Monsanto Technology, LLC, PVP 200500126
PI 638686	Monsanto Technology, LLC, PVP 200500127
PI 638687	Monsanto Technology, LLC, PVP 200500128
PI 638688	Arkansas Agricultural Experimental Station, University of Arkansas, PVP 200600045
PI 639187	Introduction; Russian Federation, 2005
PI 639555A	Minnesota Agricultural Experiment Station, University of Minnesota, PVP 200600015
PI 642013	Monsanto Technology, LLC, PVP 200600055
PI 642167	Monsanto Technology, LLC, PVP 200600066
PI 642318	Monsanto Technology, LLC, PVP 200600067
PI 642319	Pioneer Hi-Bred International, Inc., PVP 200600072
PI 642324	Pioneer Hi-Bred International, Inc., PVP 200600073
PI 642325	Pioneer Hi-Bred International, Inc., PVP 200600074
PI 642326	Pioneer Hi-Bred International, Inc., PVP 200600075
PI 642327	Pioneer Hi-Bred International, Inc., PVP 200600076
PI 642328	Pioneer Hi-Bred International, Inc., PVP 200600077
PI 642329	Pioneer Hi-Bred International, Inc., PVP 200600078
PI 642330	Pioneer Hi-Bred International, Inc., PVP 200600079
PI 642331	Pioneer Hi-Bred International, Inc., PVP 200600080
PI 642332	Pioneer Hi-Bred International, Inc., PVP 200600081
PI 642333	Pioneer Hi-Bred International, Inc., PVP 200600082
PI 642334	Pioneer Hi-Bred International, Inc., PVP 200600083
PI 642335	Pioneer Hi-Bred International, Inc., PVP 200600084
PI 642336	Pioneer Hi-Bred International, Inc., PVP 200600085
PI 642337	Pioneer Hi-Bred International, Inc., PVP 200600086
PI 642338	Pioneer Hi-Bred International, Inc., PVP 200600087
PI 642339	Pioneer Hi-Bred International, Inc., PVP 200600088
PI 642340	Pioneer Hi-Bred International, Inc., PVP 200600089
PI 642341	Pioneer Hi-Bred International, Inc., PVP 200600090
PI 642342	Pioneer Hi-Bred International, Inc., PVP 200600091
PI 642343	Monsanto Technology, LLC, PVP 200600148
PI 642344	Monsanto Technology, LLC, PVP 200600149
PI 642345	Monsanto Technology, LLC, PVP 200600150
PI 642346	Monsanto Technology, LLC, PVP 200600151
PI 642347	Monsanto Technology, LLC, PVP 200600152
PI 642348	South Dakota Agricultural Experiment Station, PVP 200600184
PI 642768	U.S. Government, as represented by the Secretary of Agriculture, PVP 200700279
PI 643148	GP-330, F4:F6
PI 643913	Saga Prefectural Regional Industry Support Center, PVP 200600261
PI 643976	National Agriculture and Food Organization, PVP 200600262
PI 643977	NDSU Research Foundation, PVP 200700054
PI 645464	NDSU Research Foundation, PVP 200700055
PI 645465	NDSU Research Foundation, PVP 200700056
PI 645466	NDSU Research Foundation, PVP 200700057
PI 645467	NDSU Research Foundation, PVP 200700058
PI 645468	NDSU Research Foundation, PVP 200700059
PI 645469	Pioneer Hi-Bred International, Inc., PVP 200700094
PI 646161	Pioneer Hi-Bred International, Inc., PVP 200700095
PI 646162	Pioneer Hi-Bred International, Inc., PVP 200700096
PI 646163	Pioneer Hi-Bred International, Inc., PVP 200700097
PI 646164	Pioneer Hi-Bred International, Inc., PVP 200700098
PI 646165	Pioneer Hi-Bred International, Inc., PVP 200700099
PI 646166	Pioneer Hi-Bred International, Inc., PVP 200700100
PI 646167	Pioneer Hi-Bred International, Inc., PVP 200700101
PI 646168	Pioneer Hi-Bred International, Inc., PVP 200700102
PI 646169	Pioneer Hi-Bred International, Inc., PVP 200700103
PI 646170	Pioneer Hi-Bred International, Inc., PVP 200700104
PI 646171	Pioneer Hi-Bred International, Inc., PVP 200700105
PI 646172	Pioneer Hi-Bred International, Inc., PVP 200700106
PI 646173	Pioneer Hi-Bred International, Inc., PVP 200700107
PI 646174	Pioneer Hi-Bred International, Inc., PVP 200700108
PI 646175	Pioneer Hi-Bred International, Inc., PVP 200700109
PI 646176	Pioneer Hi-Bred International, Inc., PVP 200700110
PI 646177	Pioneer Hi-Bred International, Inc., PVP 200700111
PI 646178	Pioneer Hi-Bred International, Inc., PVP 200700112
PI 646179	Pioneer Hi-Bred International, Inc., PVP 200700113
PI 646180	Monsanto Technology, LLC, PVP 200700122
PI 646189	Monsanto Technology, LLC, PVP 200700123
PI 646190	Monsanto Technology, LLC, PVP 200700124
PI 646191	Monsanto Technology, LLC, PVP 200700125
PI 647087	NDSU Research Foundation, PVP 200700352
PI 647867	Monsanto Technology, LLC, PVP 200700133
PI 647985	Monsanto Technology, LLC, PVP 200700134
PI 647986	Monsanto Technology, LLC, PVP 200700135
PI 647987	Monsanto Technology, LLC, PVP 200700136
PI 647988	Monsanto Technology, LLC, PVP 200700137
PI 647989	Monsanto Technology, LLC, PVP 200700138
PI 647990	Monsanto Technology, LLC, PVP 200700139
PI 647991	Monsanto Technology, LLC, PVP 200700141
PI 647992	Monsanto Technology, LLC, PVP 200700142
PI 647993	Monsanto Technology, LLC, PVP 200700143
PI 647994	Monsanto Technology, LLC, PVP 200700144
PI 647995	Monsanto Technology, LLC, PVP 200700145
PI 647996	Monsanto Technology, LLC, PVP 200700147
PI 647997	Monsanto Technology, LLC, PVP 200700148
PI 647998	Monsanto Technology, LLC, PVP 200700149
PI 647999	Monsanto Technology, LLC, PVP 200700150
PI 648000	Monsanto Technology, LLC, PVP 200700151
PI 648001	Monsanto Technology, LLC, PVP 200700152
PI 648002	Monsanto Technology, LLC, PVP 200700251
PI 648003	Monsanto Technology, LLC, PVP 200700146
PI 648031	Pioneer Hi-Bred International, Inc., PVP 200700258
PI 648231	Pioneer Hi-Bred International, Inc., PVP 200700259
PI 648232	Pioneer Hi-Bred International, Inc., PVP 200700260
PI 648233	Monsanto Technology, LLC, PVP 200700281
PI 648235	Nidera S.A., PVP 200600243
PI 648318	Nidera S.A., PVP 200600247
PI 648319	Nidera S.A., PVP 200600248
PI 648320	Nidera S.A., PVP 200600249
PI 648321	Nidera S.A., PVP 200600250
PI 648322	Nidera S.A., PVP 200600251
PI 648323	Nidera S.A., PVP 200600252
PI 648324	NDSU Research Foundation, PVP 200700353
PI 648470	Monsanto Technology, LLC, PVP 200700393
PI 651309	Monsanto Technology, LLC, PVP 200700394
PI 651310	Monsanto Technology, LLC, PVP 200700395
PI 651311	Monsanto Technology, LLC, PVP 200700396
PI 651312	Monsanto Technology, LLC, PVP 200700415
PI 651313	Monsanto Technology, LLC, PVP 200700416
PI 651314	Monsanto Technology, LLC, PVP 200700418
PI 651315	Monsanto Technology, LLC, PVP 200700417
PI 651518	Pioneer Hi-Bred International, Inc., PVP 200800082
PI 652893	Pioneer Hi-Bred International, Inc., PVP 200800083
PI 652894	Pioneer Hi-Bred International, Inc., PVP 200800084
PI 652895	Pioneer Hi-Bred International, Inc., PVP 200800085
PI 652896	Pioneer Hi-Bred International, Inc., PVP 200800087
PI 652897	Pioneer Hi-Bred International, Inc., PVP 200800088
PI 652898	Pioneer Hi-Bred International, Inc., PVP 200800089
PI 652899	Pioneer Hi-Bred International, Inc., PVP 200800091
PI 652900	Pioneer Hi-Bred International, Inc., PVP 200800092
PI 652901	Pioneer Hi-Bred International, Inc., PVP 200800093
PI 652902	Pioneer Hi-Bred International, Inc., PVP 200800094
PI 652903	Pioneer Hi-Bred International, Inc., PVP 200800095
PI 652904	Pioneer Hi-Bred International, Inc., PVP 200800096
PI 652905	Pioneer Hi-Bred International, Inc., PVP 200800097
PI 652906	Pioneer Hi-Bred International, Inc., PVP 200800098
PI 652907	Pioneer Hi-Bred International, Inc., PVP 200800099
PI 652908	Pioneer Hi-Bred International, Inc., PVP 200800100
PI 652909	Pioneer Hi-Bred International, Inc., PVP 200800101
PI 652910	Pioneer Hi-Bred International, Inc., PVP 200800102
PI 652911	Pioneer Hi-Bred International, Inc., PVP 200800103
PI 652912	Pioneer Hi-Bred International, Inc., PVP 200800104
PI 652913	Pioneer Hi-Bred International, Inc., PVP 200800105
PI 652914	Pioneer Hi-Bred International, Inc., PVP 200800106
PI 652915	Pioneer Hi-Bred International, Inc., PVP 200800108
PI 652916	Pioneer Hi-Bred International, Inc., PVP 200800109
PI 652917	Pioneer Hi-Bred International, Inc., PVP 200800110
PI 652918	Pioneer Hi-Bred International, Inc., PVP 200800111
